W Buytaert, R Celleri, B De Bi�vre, F Cisneros, G Wyseure, J Deckers, R Hofstede;Earth-Science Reviews
W Buytaert, R Celleri, P Willems, B De Bievre, G Wyseure;Journal of hydrology
RF V�zquez, L Feyen, J Feyen, JC Refsgaard;Hydrological processes
JE Carrion;University of Illinois at Urbana-Champaign
R Riddell, JE Garcia;Earthquake Engineering & Structural Dynamics
J Oliver, AE Huespe, E Samaniego, EWV Chaves;International journal for numerical and analytical methods in geomechanics��
T Rabczuk, E Samaniego;Computer Methods in Applied Mechanics and Engineering
W Buytaert, R Celleri, L Timbe;Geophysical Research Letters
L Feyen, RF V�zquez, K Christiaens, O Sels, J Feyen;Hydrology and Earth System Sciences
T Rabczuk, JY Kim, E Samaniego, T Belytschko;International Journal for Numerical Methods in Engineering
R Celleri, P Willems, W Buytaert, J Feyen;Hydrological Processes
E Samaniego, T Belytschko;International Journal for Numerical Methods in Engineering
RF V�zquez;Journal of Hydrology
R Celleri, J Feyen;Mountain Research and Development
J Oliver, AE Huespe, E Samaniego, EWV Chaves;Fifth World Congress on Computational Mechanics
R Riddell, JE Garcia, E Garces;Earthquake engineering & structural dynamics
D Orellana, AK Bregt, A Ligtenberg, M Wachowicz;Tourism Management
J Oliver, AE Huespe, E Samaniego;International journal for numerical methods in engineering
LG Gonz�lez, E Figueres, G Garcer�, O Carranza;Applied Energy
J Gracia, R Trillo, M Espinoza, E Mena;Proceedings of the 6th international conference on Web engineering
J Oliver, AE Huespe, MDG Pulido, E Samaniego;International Journal for Numerical Methods in Engineering
M Espinoza, A G�mez-P�rez, E Mena;The Semantic Web: Research and Applications
R Trillo, J Gracia, M Espinoza, E Mena;J. UCS
"Lorenzo Melchor, Laura Paula Saucedo-Cuevas, Iv�n Mu�oz-Repeto, Socorro Mar�a Rodr�guez-Pinilla, Emiliano Honrado, Alfredo Campoverde, Jose Palacios, Katherine L Nathanson, Mar�a Jos� Garc�a, Javier Ben�tez
";Breast cancer research 11 (6), R
MR Pelaez-Samaniego, V Yadama, E Lowell, R Espinoza-Herrera;Wood Science and Technology
M Espinoza, E Montiel-Ponsoda, A G�mez-P�rez;K-CAP 09 Proceedings of the fifth international conference on Knowledge��
JE Carrion, BF Spencer, BM Phillips;Earthquake Engineering and Engineering Vibration
